Territorial authority code (2018 areas),Territorial authority description,Paid employee
Area_Code,Area_Description,
1,Far North District,20739
2,Whangarei District,34050
3,Kaipara District,7431
11,Thames-Coromandel District,9297
12,Hauraki District,6849
13,Waikato District,30123
15,Matamata-Piako District,13500
16,Hamilton City,71397
17,Waipa District,22083
18,Otorohanga District,3690
19,South Waikato District,9117
20,Waitomo District,3741
21,Taupo District,15195
22,Western Bay of Plenty District,19416
23,Tauranga City,55461
24,Rotorua District,30123
25,Whakatane District,13554
26,Kawerau District,2310
27,Opotiki District,3390
28,Gisborne District,19002
29,Wairoa District,2979
30,Hastings District,34476
31,Napier City,26457
32,Central Hawke's Bay District,5694
33,New Plymouth District,33144
34,Stratford District,3552
35,South Taranaki District,10302
36,Ruapehu District,4809
37,Whanganui District,17415
38,Rangitikei District,6003
39,Manawatu District,12483
40,Palmerston North City,37683
41,Tararua District,6498
42,Horowhenua District,11901
43,Kapiti Coast District,19791
44,Porirua City,24396
45,Upper Hutt City,20181
46,Lower Hutt City,47634
47,Wellington City,102927
48,Masterton District,10314
49,Carterton District,3570
50,South Wairarapa District,4047
51,Tasman District,20832
52,Nelson City,21624
53,Marlborough District,20418
54,Kaikoura District,1716
55,Buller District,3573
56,Grey District,5775
57,Westland District,3975
58,Hurunui District,4845
59,Waimakariri District,25518
60,Christchurch City,171777
62,Selwyn District,28332
63,Ashburton District,14730
64,Timaru District,20274
65,Mackenzie District,2292
66,Waimate District,2904
67,Chatham Islands Territory,306
68,Waitaki District,8910
69,Central Otago District,9585
70,Queenstown-Lakes District,20109
71,Dunedin City,55155
72,Clutha District,7323
73,Southland District,12579
74,Gore District,5274
75,Invercargill City,25374
76,Auckland,691473
999,Area Outside Territorial Authority,18
Total,Total NZ (Territorial Authority),2021400
